monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2014411310;2014-07-08 11:29;IONEN;Calcium na filtratie (mg/l);78.0;mg/l;125290;470063
WN_FC2014411322;2014-07-09 08:29;IONEN;Calcium na filtratie (mg/l);83.0;mg/l;119445;463875
WN_FC2014413765;2014-08-05 11:30;IONEN;Calcium na filtratie (mg/l);75.0;mg/l;125290;470063
WN_FC2014413854;2014-08-06 09:10;IONEN;Calcium na filtratie (mg/l);70.0;mg/l;119445;463875
WN_FC2014414053;2014-08-08 11:15;IONEN;Calcium na filtratie (mg/l);66.0;mg/l;128859;480426
WN_FC2014414307;2014-08-11 09:45;IONEN;Calcium na filtratie (mg/l);78.0;mg/l;119349;493061
WN_FC2014414366;2014-08-12 09:58;IONEN;Calcium na filtratie (mg/l);67.0;mg/l;119540;476400
WN_FC2014414632;2014-08-25 12:05;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;125742;475126
WN_FC2014417463;2014-09-11 12:23;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;119540;476400
WN_FC2014417891;2014-09-15 10:21;IONEN;Calcium na filtratie (mg/l);76.0;mg/l;125742;475126
WN_FC2014419173;2014-10-01 12:03;IONEN;Calcium na filtratie (mg/l);85.0;mg/l;128859;480426
WN_FC2014419258;2014-10-03 08:35;IONEN;Calcium na filtratie (mg/l);77.0;mg/l;119445;463875
WN_FC2014419558;2014-10-06 09:06;IONEN;Calcium na filtratie (mg/l);83.0;mg/l;119349;493061
WN_FC2014419645;2014-10-07 09:27;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;119540;476400
WN_FC2014420020;2014-10-13 11:00;IONEN;Calcium na filtratie (mg/l);96.0;mg/l;125742;475126
WN_FC2014420182;2014-10-14 10:56;IONEN;Calcium na filtratie (mg/l);70.0;mg/l;125290;470063
WN_FC2014422469;2014-11-14 08:51;IONEN;Calcium na filtratie (mg/l);130.0;mg/l;125742;475126
WN_FC2014422439;2014-11-14 09:39;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;119540;476400
WN_FC2014423532;2014-12-01 09:30;IONEN;Calcium na filtratie (mg/l);79.0;mg/l;119349;493061
WN_FC2014423758;2014-12-04 09:23;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;128859;480426
WN_FC2014424285;2014-12-09 09:49;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119540;476400
WN_FC2014424379;2014-12-10 12:42;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;125742;475126
WN_FC2014424179;2014-12-15 10:16;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;119445;463875
WN_FC2014424360;2014-12-16 10:28;IONEN;Calcium na filtratie (mg/l);73.0;mg/l;125290;470063
WP425553;2015-01-07 12:40;IONEN;Calcium na filtratie (mg/l);180.0;mg/l;121753;491915
WP426552;2015-01-22 11:45;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;125742;475126
WP427363;2015-02-02 11:49;IONEN;Calcium na filtratie (mg/l);78.0;mg/l;119349;493061
WP427763;2015-02-03 10:30;IONEN;Calcium na filtratie (mg/l);67.0;mg/l;125290;470063
WP427649;2015-02-04 10:55;IONEN;Calcium na filtratie (mg/l);160.0;mg/l;121753;491915
WP427601;2015-02-05 11:18;IONEN;Calcium na filtratie (mg/l);60.0;mg/l;128859;480426
WP428999;2015-02-26 10:36;IONEN;Calcium na filtratie (mg/l);74.0;mg/l;119445;463875
WP428571;2015-02-27 09:14;IONEN;Calcium na filtratie (mg/l);90.0;mg/l;125742;475126
WP429400;2015-03-03 09:10;IONEN;Calcium na filtratie (mg/l);150.0;mg/l;121753;491915
WP430797;2015-03-19 09:52;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;125742;475126
WP431639;2015-04-01 11:04;IONEN;Calcium na filtratie (mg/l);63.0;mg/l;128859;480426
WP431926;2015-04-07 10:20;IONEN;Calcium na filtratie (mg/l);130.0;mg/l;121753;491915
WP431945;2015-04-07 10:46;IONEN;Calcium na filtratie (mg/l);85.0;mg/l;119349;493061
WP433622;2015-04-24 10:19;IONEN;Calcium na filtratie (mg/l);92.0;mg/l;125742;475126
WP434131;2015-05-01 11:05;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;119445;463875
WP434217;2015-05-01 12:35;IONEN;Calcium na filtratie (mg/l);68.0;mg/l;125290;470063
WP434980;2015-05-06 10:18;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;121753;491915
WP436650;2015-05-28 07:59;IONEN;Calcium na filtratie (mg/l);46.0;mg/l;125742;475126
WP438208;2015-06-01 09:22;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;119349;493061
WP438410;2015-06-02 11:29;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;121753;491915
WP438467;2015-06-03 09:20;IONEN;Calcium na filtratie (mg/l);70.0;mg/l;128859;480426
WP440437;2015-06-23 09:50;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;125290;470063
WP440463;2015-06-24 09:15;IONEN;Calcium na filtratie (mg/l);57.0;mg/l;125742;475126
WP440522;2015-06-25 10:01;IONEN;Calcium na filtratie (mg/l);93.0;mg/l;119445;463875
WP442471;2015-07-03 07:15;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;128859;480426
WP442468;2015-07-03 09:35;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;121753;491915
WP442845;2015-07-06 09:55;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;119349;493061
WP443649;2015-07-16 08:20;IONEN;Calcium na filtratie (mg/l);63.0;mg/l;125742;475126
WP444179;2015-07-21 09:35;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;125290;470063
WP444395;2015-07-24 10:20;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119445;463875
WP445260;2015-08-04 11:12;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;119349;493061
WP445499;2015-08-06 09:18;IONEN;Calcium na filtratie (mg/l);150.0;mg/l;121753;491915
WP445527;2015-08-07 07:50;IONEN;Calcium na filtratie (mg/l);66.0;mg/l;128859;480426
WP446161;2015-08-13 11:10;IONEN;Calcium na filtratie (mg/l);75.0;mg/l;125742;475126
WP446487;2015-08-18 10:25;IONEN;Calcium na filtratie (mg/l);77.0;mg/l;125290;470063
WP447208;2015-08-31 11:12;IONEN;Calcium na filtratie (mg/l);68.0;mg/l;119445;463875
WP447879;2015-09-04 09:23;IONEN;Calcium na filtratie (mg/l);99.0;mg/l;121753;491915
WP450200;2015-10-02 09:00;IONEN;Calcium na filtratie (mg/l);75.0;mg/l;128859;480426
WP450050;2015-10-02 14:00;IONEN;Calcium na filtratie (mg/l);130.0;mg/l;121753;491915
WP450329;2015-10-05 10:50;IONEN;Calcium na filtratie (mg/l);79.0;mg/l;119349;493061
